,time,lat,lon,rain,MEV,HMV,vr500,vws1,vws3
401,2.02108E+11,39.1,117.12,25.21,0,0,0.430000189,4.010921,5.991678
402,2.02108E+11,39.42,117.95,33.96,0.074530317,250,0.740000221,3.084564,5.0502257
403,2.02108E+11,39.49,117.96,28.01,0,0,0.630000199,3.661269,5.4993763
404,2.02108E+11,39.49,117.96,23.39,0,0,0.660000078,4.3040586,5.922783
405,2.02108E+11,38.76,116.39,25.42,0,0,0.249999866,2.661375,4.1157403
406,2.02108E+11,38.61,116.29,22.55,0.19274334,3500,0.739999989,4.70219,4.4982195
407,2.02108E+11,39.4,117,23.3,0,0,0.729999971,2.7199743,5.866929
408,2.02108E+11,38.6,116.09,20.61,0.2374252,2625,0.719999953,4.3106875,5.009148
409,2.02108E+11,38.87,116.23,29.3,0.2062189,3875,0.930000038,5.75199,6.11653
410,2.02108E+11,38.79,116.04,28.55,0.10745725,3375,0.739999989,5.363078,6.096812
411,2.02108E+11,38.93,116.15,20.28,0.04435786,3750,0.650000235,6.0531087,6.5827165
412,2.02108E+11,39.01,116.11,23.19,0.10225301,375,1.079999958,6.1668367,6.593064
413,2.02108E+11,37.46,115.95,30.5,0.2626249,3875,0.690000306,5.2488356,4.612777
414,2.02108E+11,39.21,117.96,25.8,0.4388334,125,0.400000106,5.0056252,11.666204
415,2.02108E+11,38.75,117.67,31.6,0.6441032,3875,1.950000296,5.1410356,12.322311
416,2.02108E+11,39.22,117.94,28.88,0.4035994,125,0.509999983,5.295711,12.807753
417,2.02108E+11,39.05,118.25,22.29,0.9896029,250,1.249999856,5.79446,12.977619
418,2.02206E+11,39.2,118.34,29.72,0.7023379,2875,1.469999785,6.3364654,13.800346
419,2.02206E+11,39.04,118.7,22.53,1.02278085,3875,0.939999823,4.4245644,9.797139
420,2.02206E+11,39.07,118.41,23.45,0.4209792,750,0.520000001,3.783027,8.79441
421,2.02206E+11,39.24,117.93,20.01,0.41621082,0,0.130000117,7.0141745,13.557798
422,2.02206E+11,39.62,117.02,21.16,0,0,1.40999991,6.27278,16.23146
423,2.02206E+11,38.52,116.78,21.31,0,0,0.910000061,5.5204053,15.892484
424,2.02206E+11,38.74,115.91,24.84,0.7804753,375,4.38000029,8.456922,16.324038
425,2.02206E+11,38.92,116,20.59,0.52855597,125,2.799999202,6.7628384,14.783209
426,2.02206E+11,38.88,116.16,21.86,0.41394625,125,2.140000928,5.660954,14.518513
427,2.02206E+11,38.99,116.2,28.32,0.28843413,3875,1.340000192,5.79015,14.269476
428,2.02206E+11,39.1,116.29,26.49,1.7450597,3875,1.919999951,7.496215,15.420361
429,2.02206E+11,39.63,116.68,22.88,1.0195325,2500,2.309999894,9.405969,15.822398
430,2.02206E+11,39.5,116.66,21.37,1.1667064,3000,2.460000571,10.040888,16.733103
431,2.02206E+11,38.63,117.19,23.41,0,0,2.369999886,17.176107,19.54523
432,2.02206E+11,38.7,117.52,22.27,1.222827,375,2.249999437,13.653314,19.113714
433,2.02206E+11,38.39,117.98,28.04,1.8286369,375,1.919999835,17.528692,18.277287
434,2.02206E+11,38.91,118.42,21.52,0,0,0.960000267,16.701633,18.126024
435,2.02206E+11,38.94,118.47,22.74,0,0,0.880000065,17.053715,18.535559
436,2.02206E+11,38.9,118.48,21.29,0,0,0.720000768,16.718702,18.083698
437,2.02206E+11,38.9,118.49,20.07,0,0,0.789999962,17.697254,19.572054
438,2.02206E+11,38.86,118.54,20.11,0,0,0.679999823,17.132511,18.662998
439,2.02206E+11,37.74,115.5,20.79,0.46528683,375,1.300000236,7.791141,8.799271
440,2.02206E+11,37.46,115.64,22.24,1.16926814,250,1.960000023,8.389492,8.280954
441,2.02206E+11,37.02,115.58,25.58,2.238386,250,2.320000669,7.7100787,8.00139
442,2.02206E+11,37.59,116.06,24.29,0.6916786,375,0.710000517,8.636608,11.846717
